PHRASE: hubble telescope _nytCount: 11 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: launched from cape _nytCount: 11 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: million lightyears _nytCount: 14 _historyStories.size(): 9 _mentions: 10        _unique stories: 0
PHRASE: research institute _nytCount: 17 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: light years _nytCount: 18 _historyStories.size(): 9 _mentions: 10        _unique stories: 1
PHRASE: american astronauts _nytCount: 20 _historyStories.size(): 9 _mentions: 9        _unique stories: 1
PHRASE: spy satellite _nytCount: 20 _historyStories.size(): 9 _mentions: 13        _unique stories: 0
PHRASE: russian soyuz _nytCount: 24 _historyStories.size(): 9 _mentions: 9        _unique stories: 0
PHRASE: propulsion system _nytCount: 2 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: president george _nytCount: 2 _historyStories.size(): 8 _mentions: 10        _unique stories: 0
PHRASE: moffett field _nytCount: 2 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: flight test _nytCount: 2 _historyStories.size(): 8 _mentions: 8        _unique stories: 1
PHRASE: base california _nytCount: 2 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: star city _nytCount: 2 _historyStories.size(): 8 _mentions: 10        _unique stories: 0
PHRASE: third time _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 3
PHRASE: senator john _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: shuttle operations _nytCount: 3 _historyStories.size(): 8 _mentions: 9        _unique stories: 0
PHRASE: water vapor _nytCount: 3 _historyStories.size(): 8 _mentions: 12        _unique stories: 0
PHRASE: background explorer _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 1
PHRASE: air traffic _nytCount: 3 _historyStories.size(): 8 _mentions: 13        _unique stories: 2
PHRASE: n koptev _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: first satellite _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 4
PHRASE: review panel _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: nasa news _nytCount: 3 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: el nino _nytCount: 3 _historyStories.size(): 8 _mentions: 9        _unique stories: 3
PHRASE: nineday mission _nytCount: 4 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: expressed concern _nytCount: 4 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: russian scientists _nytCount: 4 _historyStories.size(): 8 _mentions: 8        _unique stories: 1
PHRASE: william f _nytCount: 4 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
